Matrix,Tolerance,Jacobi,Gauss-Seidel,Gradient,Conjugate Gradient,Iter_Cost_Jacobi,Iter_Cost_Gauss-Seidel,Iter_Cost_Gradient,Iter_Cost_Conjugate_Gradient
spa1,1e-04,116,10,144,50,0.00011784896551724137,0.013764774000000002,0.0001901626388888889,0.0005053628
spa2,1e-04,37,6,162,43,0.0018689421621621623,0.16357033333333332,0.0030610324074074073,0.00806769
vem1,1e-04,1315,660,891,39,2.472636501901141e-05,0.0028765193181818183,3.1863378226711564e-05,8.985102564102564e-05
vem2,1e-04,1928,966,1309,48,4.29408765560166e-05,0.00661590367494824,5.658851031321619e-05,0.00016052145833333334
spa1,1e-06,182,18,3578,135,0.00011641631868131867,0.013012097777777778,0.00020240537171604248,0.000506591185185185
spa2,1e-06,58,9,1950,123,0.001728535172413793,0.16030912000000003,0.002977081276923077,0.0075083166666666664
vem1,1e-06,2434,1219,1613,46,2.3352764995891537e-05,0.00287805358490566,3.0388667079975203e-05,8.941239130434781e-05
vem2,1e-06,3677,1841,2439,57,4.2171106880609194e-05,0.006663706110809342,5.7803390733907335e-05,0.00014019859649122806
spa1,1e-08,248,25,8234,178,0.00012386084677419354,0.0135823168,0.00020244798153995624,0.0005785291011235955
spa2,1e-08,79,13,5088,197,0.001714175696202532,0.15931139307692307,0.0030095647071540876,0.0073950629949238594
vem1,1e-08,3553,1779,2337,54,2.1637506332676612e-05,0.0028494379820123666,2.9940714591356443e-05,7.88061111111111e-05
vem2,1e-08,5426,2715,3567,67,4.434125322521195e-05,0.006647690751381216,6.094081020465377e-05,0.00013725880597014926
spa1,1e-10,314,32,12920,201,0.00011967464968152866,0.013394171562499998,0.00020644205108359134,0.0005523693532338309
spa2,1e-10,100,16,8286,241,0.0016919411999999998,0.15833175249999998,0.0029933592396813903,0.007454867095435685
vem1,1e-10,4672,2339,3059,60,2.070183219178082e-05,0.0028425506412997005,2.802618502778686e-05,8.020866666666668e-05
vem2,1e-10,7175,3590,4697,75,3.927615331010453e-05,0.006627997217270195,5.0512092825207577e-05,0.00012309240000000002
